ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked
307,Unit_EEDB_Mat_React_cav_liner,Unit cost of Material Reactor cavity liner plate in EEDB,607.96,dollar/m^2,NULL,NULL,Unit_Mat_React_cav_liner
308,Unit_EEDB_Mat_Struct_steel,Unit cost of Material Struct steel in EEDB,27.41,dollar/m^3,NULL,NULL,Unit_Mat_Struct_steel
309,Unit_EEDB_Mat_cont_liner,Unit cost of Material Containment liner in EEDB,1203,dollar/m^2,NULL,NULL,Unit_Mat_cont_liner
310,Unit_EEDB_Mat_fl_grate_handrail_stairs,"Unit cost of Material Floor grating (galvanized), Handrail, Stair treads in EEDB",1.98,dollar/m^3,NULL,NULL,Unit_Mat_fl_grate_handrail_stairs
311,Unit_EEDB_Mat_painting,Unit cost of Material painting in EEDB,24.68,dollar/m^2,NULL,NULL,Unit_Mat_painting
312,Unit_Labor_Cadweld_Substr,Unit cost of Labor Cadweld Substructure (base mat) in 2017,245.31,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Cadweld_Substr,infl",Total_Labor_Cadweld_Substr
313,Unit_Labor_Cadweld_Superstr,Unit cost of Labor Cadweld Superstructure (shell) in 2017,329.02,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Cadweld_Superstr,infl",Total_Labor_Cadweld_Superstr
314,Unit_Labor_Cadweld_Dome,Unit cost of Labor Cadweld Superstructure (dome) in 2017,663.34,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Cadweld_Dome,infl",Total_Labor_Cadweld_Dome
315,Unit_Labor_Cadweld_Interior,Unit cost of Labor Cadweld Interior structure in 2017,138.36,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Cadweld_Interior,infl",Total_Labor_Cadweld_Interior
316,Unit_Labor_Concrete_Substr,Unit cost of Labor Concrete Substructure (base mat) in 2017,208.17,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Concrete_Substr,infl",Total_Labor_Concrete_Substr
317,Unit_Labor_Concrete_Superstr,Unit cost of Labor Concrete Superstructure (shell) in 2017,250.85,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Concrete_Superstr,infl",Total_Labor_Concrete_Superstr
318,Unit_Labor_Concrete_Dome,Unit cost of Labor Concrete Superstructure (dome) in 2017,223.96,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Concrete_Dome,infl",Total_Labor_Concrete_Dome
319,Unit_Labor_Concrete_Interior,Unit cost of Labor Concrete Interior structure in 2017,280.07,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Concrete_Interior,infl",Total_Labor_Concrete_Interior
320,Unit_Labor_Constr_joints_Substr,Unit cost of Labor Construction joints Substructure (base mat) in 2017,41.65,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Constr_joints_Substr,infl",Total_Labor_Constr_joints_Substr
321,Unit_Labor_Constr_joints_Superstr,Unit cost of Labor Construction joints Superstructure (shell) in 2017,35.71,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Constr_joints_Superstr,infl",Total_Labor_Constr_joints_Superstr
322,Unit_Labor_Constr_joints_Dome,Unit cost of Labor Construction joints Superstructure (dome) in 2017,13.63,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Constr_joints_Dome,infl",Total_Labor_Constr_joints_Dome
323,Unit_Labor_Constr_joints_Interior,Unit cost of Labor Construction joints Interior structure in 2017,5.88,dollar/m^2,unitcost_s_eedb_to_accert,"Unit_EEDB_Labor_Constr_joints_Interior,infl",Total_Labor_Constr_joints_Interior
324,Unit_Labor_Embedded_steel_Substr,Unit cost of Labor Embedded steel Substructure (base mat) in 2017,11.42,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Embedded_steel_Substr,infl",Total_Labor_Embedded_steel_Substr
325,Unit_Labor_Embedded_steel_Superstr,Unit cost of Labor Embedded steel Superstructure (shell) in 2017,45.87,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Embedded_steel_Superstr,infl",Total_Labor_Embedded_steel_Superstr
326,Unit_Labor_Embedded_steel_Dome,Unit cost of Labor Embedded steel Superstructure (dome) in 2017,0,dollar/m^3,unitcost_v_eedb_to_accert,"Unit_EEDB_Labor_Embedded_steel_Dome,infl",Total_Labor_Embedded_steel_Dome
