ind,cost_element,cost_2018,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
313,226_fac,83891464.97857295,22_fac,,$,,226,LPSR_DIRECT,0,rollup_from_subaccounts
314,226_mat,14259524.365977451,22_mat,,$,,226,LPSR_DIRECT,0,rollup_from_subaccounts
315,226_lab,118883392.15461758,22_lab,,$,,226,LPSR_DIRECT,0,rollup_from_subaccounts
316,226.1_fac,2523809.891261753,226_fac,category_scale,$,"ref_226_1_fac, f_simp_other_rx_equip, scale_ap1000",226.1,LPSR_DIRECT,0,collapsed_category_scaled
317,226.1_mat,285494.95094295836,226_mat,category_scale,$,"ref_226_1_mat, f_simp_other_rx_equip, scale_ap1000",226.1,LPSR_DIRECT,0,collapsed_category_scaled
318,226.1_lab,3669668.6412635543,226_lab,category_scale,$,"ref_226_1_lab, f_simp_other_rx_equip, scale_ap1000",226.1,LPSR_DIRECT,0,collapsed_category_scaled
319,226.3_fac,2877089.852360242,226_fac,category_scale,$,"ref_226_3_fac, f_simp_other_rx_equip, scale_ap1000",226.3,LPSR_DIRECT,0,collapsed_category_scaled
320,226.3_mat,897490.6813177499,226_mat,category_scale,$,"ref_226_3_mat, f_simp_other_rx_equip, scale_ap1000",226.3,LPSR_DIRECT,0,collapsed_category_scaled
321,226.3_lab,4281400.388376851,226_lab,category_scale,$,"ref_226_3_lab, f_simp_other_rx_equip, scale_ap1000",226.3,LPSR_DIRECT,0,collapsed_category_scaled
322,226.4_fac,30764724.87330245,226_fac,category_scale,$,"ref_226_4_fac, scale_pri_flow, f_simp_other_rx_equip, scale_ap1000",226.4,LPSR_DIRECT,0,collapsed_category_scaled
323,226.4_mat,5098299.994208204,226_mat,category_scale,$,"ref_226_4_mat, scale_pri_flow, f_simp_other_rx_equip, scale_ap1000",226.4,LPSR_DIRECT,0,collapsed_category_scaled
324,226.4_lab,44401388.93474373,226_lab,category_scale,$,"ref_226_4_lab, scale_pri_flow, f_simp_other_rx_equip, scale_ap1000",226.4,LPSR_DIRECT,0,collapsed_category_scaled
325,226.6_fac,544783.4608331835,226_fac,category_scale,$,"ref_226_6_fac, f_simp_other_rx_equip, scale_ap1000",226.6,LPSR_DIRECT,0,collapsed_category_scaled
326,226.6_mat,5221.151284715566,226_mat,category_scale,$,"ref_226_6_mat, f_simp_other_rx_equip, scale_ap1000",226.6,LPSR_DIRECT,0,collapsed_category_scaled
327,226.6_lab,133076.97791084164,226_lab,category_scale,$,"ref_226_6_lab, f_simp_other_rx_equip, scale_ap1000",226.6,LPSR_DIRECT,0,collapsed_category_scaled
328,226.7_fac,34675314.4874424,226_fac,,$,,226.7,LPSR_DIRECT,0,rollup_from_subaccounts
329,226.7_mat,4940633.956157955,226_mat,,$,,226.7,LPSR_DIRECT,0,rollup_from_subaccounts
330,226.7_lab,63914038.32370481,226_lab,,$,,226.7,LPSR_DIRECT,0,rollup_from_subaccounts
331,226.71_fac,19184105.220658958,226.7_fac,category_scale,$,"ref_226_71_fac, scale_P, f_simp_other_rx_equip, scale_ap1000",226.71,LPSR_DIRECT,0,collapsed_category_scaled
332,226.71_mat,3248385.7500987626,226.7_mat,category_scale,$,"ref_226_71_mat, scale_P, f_simp_other_rx_equip, scale_ap1000",226.71,LPSR_DIRECT,0,collapsed_category_scaled
333,226.71_lab,42162331.569923446,226.7_lab,category_scale,$,"ref_226_71_lab, scale_P, f_simp_other_rx_equip, scale_ap1000",226.71,LPSR_DIRECT,0,collapsed_category_scaled
334,226.72_fac,15491209.266783442,226.7_fac,category_scale,$,"ref_226_72_fac, scale_pri_flow, f_simp_other_rx_equip, scale_ap1000",226.72,LPSR_DIRECT,0,collapsed_category_scaled
335,226.72_mat,1692248.206059192,226.7_mat,category_scale,$,"ref_226_72_mat, scale_pri_flow, f_simp_other_rx_equip, scale_ap1000",226.72,LPSR_DIRECT,0,collapsed_category_scaled
336,226.72_lab,21751706.753781363,226.7_lab,category_scale,$,"ref_226_72_lab, scale_pri_flow, f_simp_other_rx_equip, scale_ap1000",226.72,LPSR_DIRECT,0,collapsed_category_scaled
337,226.8_fac,11227763.39011469,226_fac,category_scale,$,"ref_226_8_fac, f_simp_other_rx_equip, scale_ap1000",226.8,LPSR_DIRECT,0,collapsed_category_scaled
338,226.8_mat,2865730.7666591494,226_mat,category_scale,$,"ref_226_8_mat, f_simp_other_rx_equip, scale_ap1000",226.8,LPSR_DIRECT,0,collapsed_category_scaled
339,226.8_lab,506603.7344951437,226_lab,category_scale,$,"ref_226_8_lab, f_simp_other_rx_equip, scale_ap1000",226.8,LPSR_DIRECT,0,collapsed_category_scaled
340,226.9_fac,1277979.0232582365,226_fac,category_scale,$,"ref_226_9_fac, f_simp_other_rx_equip, scale_ap1000",226.9,LPSR_DIRECT,0,collapsed_category_scaled
341,226.9_mat,166652.86540672113,226_mat,category_scale,$,"ref_226_9_mat, f_simp_other_rx_equip, scale_ap1000",226.9,LPSR_DIRECT,0,collapsed_category_scaled
342,226.9_lab,1977215.1541226527,226_lab,category_scale,$,"ref_226_9_lab, f_simp_other_rx_equip, scale_ap1000",226.9,LPSR_DIRECT,0,collapsed_category_scaled
343,227_fac,93279732.62967679,22_fac,,$,,227,LPSR_DIRECT,0,rollup_from_subaccounts
