ind,var_name,var_description,var_value,var_unit,var_alg,var_need,user_input,v_linked
165,ref_213_13_mat,Aggregated reference mat cost for 213.13,6302087.867887,$,,1,0,
166,ref_213_141_lab,Aggregated reference lab cost for 213.141,1639765.2804,$,,1,0,
167,ref_213_141_mat,Aggregated reference mat cost for 213.141,635828.117868,$,,1,0,
168,ref_213_142_lab,Aggregated reference lab cost for 213.142,15453101.32427,$,,1,0,
169,ref_213_142_mat,Aggregated reference mat cost for 213.142,24471194.7413,$,,1,0,
170,ref_213_143_lab,Aggregated reference lab cost for 213.143,2115226.0423,$,,1,0,
171,ref_213_143_mat,Aggregated reference mat cost for 213.143,2442554.0654,$,,1,0,
172,ref_213_144_lab,Aggregated reference lab cost for 213.144,892268.4508999999,$,,1,0,
173,ref_213_144_mat,Aggregated reference mat cost for 213.144,925648.43823,$,,1,0,
174,ref_213_145_lab,Aggregated reference lab cost for 213.145,472841.2125,$,,1,0,
175,ref_213_145_mat,Aggregated reference mat cost for 213.145,438974.2566,$,,1,0,
176,ref_213_146_lab,Aggregated reference lab cost for 213.146,444065.4916,$,,1,0,
177,ref_213_146_mat,Aggregated reference mat cost for 213.146,284016.34398,$,,1,0,
178,ref_213_147_lab,Aggregated reference lab cost for 213.147,643802.58411,$,,1,0,
179,ref_213_147_mat,Aggregated reference mat cost for 213.147,985426.29479,$,,1,0,
180,ref_213_149_lab,Reference site labor cost for 213.149,2200909.113,$,,1,0,
181,ref_213_149_mat,Reference site material cost for 213.149,126843.2998,$,,1,0,
182,ref_213_21_fac,Aggregated reference fac cost for 213.21,26947.48846,$,,1,0,
183,ref_213_21_lab,Aggregated reference lab cost for 213.21,3854846.85311,$,,1,0,
184,ref_213_21_mat,Aggregated reference mat cost for 213.21,945580.448013,$,,1,0,
185,ref_213_22_fac,Aggregated reference fac cost for 213.22,1201173.23833,$,,1,0,
186,ref_213_22_lab,Aggregated reference lab cost for 213.22,1721625.6382600002,$,,1,0,
187,ref_213_22_mat,Aggregated reference mat cost for 213.22,285222.9706872,$,,1,0,
188,ref_213_24_lab,Reference site labor cost for 213.24,1445761.913,$,,1,0,
189,ref_213_24_mat,Reference site material cost for 213.24,579979.5412,$,,1,0,
190,ref_213_25_fac,Aggregated reference fac cost for 213.25,227987.5151,$,,1,0,
191,ref_213_25_lab,Aggregated reference lab cost for 213.25,98331.51715,$,,1,0,
192,ref_213_25_mat,Aggregated reference mat cost for 213.25,9377.073373,$,,1,0,
193,ref_214_fac,Aggregated reference fac cost for 214,171454.8001,$,,1,0,
194,ref_214_lab,Aggregated reference lab cost for 214,3253960.2307,$,,1,0,
195,ref_214_mat,Aggregated reference mat cost for 214,1107592.1165,$,,1,0,
196,ref_215_13_lab,Aggregated reference lab cost for 215.13,1486017.87709,$,,1,0,
197,ref_215_13_mat,Aggregated reference mat cost for 215.13,1063359.167139,$,,1,0,
198,ref_215_141_lab,Aggregated reference lab cost for 215.141,27007537.62763,$,,1,0,
199,ref_215_141_mat,Aggregated reference mat cost for 215.141,8497619.987044,$,,1,0,
200,ref_215_142_lab,Aggregated reference lab cost for 215.142,1853103.9549,$,,1,0,
201,ref_215_142_mat,Aggregated reference mat cost for 215.142,2944695.17141,$,,1,0,
202,ref_215_145_lab,Aggregated reference lab cost for 215.145,76768.47522,$,,1,0,
203,ref_215_145_mat,Aggregated reference mat cost for 215.145,71195.84809,$,,1,0,
204,ref_215_146_lab,Aggregated reference lab cost for 215.146,239093.8907,$,,1,0,
205,ref_215_146_mat,Aggregated reference mat cost for 215.146,218695.0725,$,,1,0,
206,ref_215_147_lab,Aggregated reference lab cost for 215.147,81713.87408400001,$,,1,0,
207,ref_215_147_mat,Aggregated reference mat cost for 215.147,88183.79654499999,$,,1,0,
208,ref_215_149_lab,Reference site labor cost for 215.149,681097.8721,$,,1,0,
209,ref_215_149_mat,Reference site material cost for 215.149,143973.4822,$,,1,0,
210,ref_215_21_fac,Aggregated reference fac cost for 215.21,7810.607011,$,,1,0,
211,ref_215_21_lab,Aggregated reference lab cost for 215.21,1525771.05875,$,,1,0,
212,ref_215_21_mat,Aggregated reference mat cost for 215.21,359094.32621,$,,1,0,
213,ref_215_221_fac,Reference factory equipment cost for 215.221,2531710.025,$,,1,0,
214,ref_215_221_lab,Reference site labor cost for 215.221,336370.6056,$,,1,0,
215,ref_215_221_mat,Reference site material cost for 215.221,28979.80565,$,,1,0,
216,ref_215_222_fac,Reference factory equipment cost for 215.222,1936413.245,$,,1,0,
217,ref_215_222_lab,Reference site labor cost for 215.222,330613.6164,$,,1,0,
218,ref_215_222_mat,Reference site material cost for 215.222,28475.24377,$,,1,0,
219,ref_215_223_fac,Reference factory equipment cost for 215.223,39410.05189,$,,1,0,
220,ref_215_223_lab,Reference site labor cost for 215.223,30190.24938,$,,1,0,
221,ref_215_223_mat,Reference site material cost for 215.223,2535.191287,$,,1,0,
222,ref_215_224_fac,Reference factory equipment cost for 215.224,469880.2213,$,,1,0,
223,ref_215_224_lab,Reference site labor cost for 215.224,91838.71282,$,,1,0,
224,ref_215_224_mat,Reference site material cost for 215.224,7912.025553,$,,1,0,
225,ref_215_225_fac,Reference factory equipment cost for 215.225,563080.5444,$,,1,0,
226,ref_215_225_lab,Reference site labor cost for 215.225,5046207.644,$,,1,0,
227,ref_215_225_mat,Reference site material cost for 215.225,1111705.045,$,,1,0,
228,ref_215_226_fac,Reference factory equipment cost for 215.226,278882.4965,$,,1,0,
229,ref_215_226_lab,Reference site labor cost for 215.226,109065.2075,$,,1,0,
230,ref_215_226_mat,Reference site material cost for 215.226,9251.182873,$,,1,0,
231,ref_215_227_fac,Reference factory equipment cost for 215.227,216644.9347,$,,1,0,
232,ref_215_228_fac,Reference factory equipment cost for 215.228,27640.01302,$,,1,0,
233,ref_215_228_lab,Reference site labor cost for 215.228,17549.12426,$,,1,0,
234,ref_215_228_mat,Reference site material cost for 215.228,1492.017338,$,,1,0,
235,ref_215_23_fac,Aggregated reference fac cost for 215.23,884219.7209,$,,1,0,
236,ref_215_23_lab,Aggregated reference lab cost for 215.23,385833.83039,$,,1,0,
237,ref_215_23_mat,Aggregated reference mat cost for 215.23,33063.408132,$,,1,0,
238,ref_215_24_lab,Reference site labor cost for 215.24,1326729.092,$,,1,0,
239,ref_215_24_mat,Reference site material cost for 215.24,465212.2443,$,,1,0,
240,ref_215_25_fac,Reference factory equipment cost for 215.25,319933.1507,$,,1,0,
241,ref_215_25_lab,Reference site labor cost for 215.25,156591.6954,$,,1,0,
242,ref_215_25_mat,Reference site material cost for 215.25,14127.73264,$,,1,0,
243,ref_216_13_lab,Aggregated reference lab cost for 216.13,3214628.4545400003,$,,1,0,
244,ref_216_13_mat,Aggregated reference mat cost for 216.13,2101391.698654,$,,1,0,
245,ref_216_141_lab,Aggregated reference lab cost for 216.141,24018213.09312,$,,1,0,
246,ref_216_141_mat,Aggregated reference mat cost for 216.141,7145811.159576,$,,1,0,
247,ref_216_142_lab,Aggregated reference lab cost for 216.142,2119078.08444,$,,1,0,
248,ref_216_142_mat,Aggregated reference mat cost for 216.142,3438706.40915,$,,1,0,
249,ref_216_143_lab,Aggregated reference lab cost for 216.143,486639.2798,$,,1,0,
250,ref_216_143_mat,Aggregated reference mat cost for 216.143,585894.164,$,,1,0,
251,ref_216_144_lab,Aggregated reference lab cost for 216.144,307576.92005,$,,1,0,
252,ref_216_144_mat,Aggregated reference mat cost for 216.144,294801.07175,$,,1,0,
253,ref_216_145_lab,Aggregated reference lab cost for 216.145,147358.83791,$,,1,0,
254,ref_216_145_mat,Aggregated reference mat cost for 216.145,128467.43138,$,,1,0,
255,ref_216_146_lab,Aggregated reference lab cost for 216.146,4599.644948,$,,1,0,
256,ref_216_146_mat,Aggregated reference mat cost for 216.146,4245.149031,$,,1,0,
257,ref_216_147_lab,Aggregated reference lab cost for 216.147,66380.321837,$,,1,0,
258,ref_216_147_mat,Aggregated reference mat cost for 216.147,75023.07197,$,,1,0,
259,ref_216_148_lab,Aggregated reference lab cost for 216.148,10525.09202,$,,1,0,
260,ref_216_148_mat,Aggregated reference mat cost for 216.148,585.0991923,$,,1,0,
261,ref_216_149_lab,Reference site labor cost for 216.149,558657.9279,$,,1,0,
262,ref_216_149_mat,Reference site material cost for 216.149,92591.94718,$,,1,0,
263,ref_216_21_lab,Aggregated reference lab cost for 216.21,1275085.66255,$,,1,0,
264,ref_216_21_mat,Aggregated reference mat cost for 216.21,252355.59431,$,,1,0,
265,ref_216_22_fac,Aggregated reference fac cost for 216.22,1134425.198653,$,,1,0,
266,ref_216_22_lab,Aggregated reference lab cost for 216.22,2551554.280197,$,,1,0,
267,ref_216_22_mat,Aggregated reference mat cost for 216.22,674600.376062,$,,1,0,
268,ref_216_24_lab,Reference site labor cost for 216.24,900566.6295,$,,1,0,
