ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
340,226.9_fac,447772.8276125,226_fac,category_scale,$,"ref_226_9_fac, f_simp_other_rx_equip",226.9,LPSR_DIRECT,1,collapsed_category_scaled
341,226.9_mat,58391.118645,226_mat,category_scale,$,"ref_226_9_mat, f_simp_other_rx_equip",226.9,LPSR_DIRECT,1,collapsed_category_scaled
342,226.9_lab,692768.19435,226_lab,category_scale,$,"ref_226_9_lab, f_simp_other_rx_equip",226.9,LPSR_DIRECT,1,collapsed_category_scaled
343,227_fac,32682954.00658421,22_fac,,$,,227,LPSR_DIRECT,1,rollup_from_subaccounts
344,227_mat,2043124.673604632,22_mat,,$,,227,LPSR_DIRECT,1,rollup_from_subaccounts
345,227_lab,23395908.85965053,22_lab,,$,,227,LPSR_DIRECT,1,rollup_from_subaccounts
346,227.1_fac,5862176.921089473,227_fac,,$,,227.1,LPSR_DIRECT,1,rollup_from_subaccounts
347,227.1_mat,145741.10852847368,227_mat,,$,,227.1,LPSR_DIRECT,1,rollup_from_subaccounts
348,227.1_lab,2890469.7719368413,227_lab,,$,,227.1,LPSR_DIRECT,1,rollup_from_subaccounts
349,227.11_fac,2348124.118,227.1_fac,category_scale,$,ref_227_11_fac,227.11,LPSR_DIRECT,1,category_scaled
350,227.11_mat,47080.64023,227.1_mat,category_scale,$,ref_227_11_mat,227.11,LPSR_DIRECT,1,category_scaled
351,227.11_lab,956553.3662,227.1_lab,category_scale,$,ref_227_11_lab,227.11,LPSR_DIRECT,1,category_scaled
352,227.15_fac,201316.7982,227.1_fac,category_scale,$,ref_227_15_fac,227.15,LPSR_DIRECT,1,category_scaled
353,227.15_mat,7611.624429,227.1_mat,category_scale,$,ref_227_15_mat,227.15,LPSR_DIRECT,1,category_scaled
354,227.15_lab,146670.7044,227.1_lab,category_scale,$,ref_227_15_lab,227.15,LPSR_DIRECT,1,category_scaled
355,227.16_fac,841507.4498,227.1_fac,category_scale,$,ref_227_16_fac,227.16,LPSR_DIRECT,1,category_scaled
356,227.16_mat,29789.75467,227.1_mat,category_scale,$,ref_227_16_mat,227.16,LPSR_DIRECT,1,category_scaled
357,227.16_lab,573931.4903,227.1_lab,category_scale,$,ref_227_16_lab,227.16,LPSR_DIRECT,1,category_scaled
358,227.17_fac,805269.6058,227.1_fac,category_scale,$,ref_227_17_fac,227.17,LPSR_DIRECT,1,category_scaled
359,227.17_mat,29789.75467,227.1_mat,category_scale,$,ref_227_17_mat,227.17,LPSR_DIRECT,1,category_scaled
360,227.17_lab,573931.4903,227.1_lab,category_scale,$,ref_227_17_lab,227.17,LPSR_DIRECT,1,category_scaled
361,227.18_fac,1007976.135,227.1_fac,category_scale,$,ref_227_18_fac,227.18,LPSR_DIRECT,1,category_scaled
362,227.18_mat,21971.66031,227.1_mat,category_scale,$,ref_227_18_mat,227.18,LPSR_DIRECT,1,category_scaled
363,227.18_lab,446391.7474,227.1_lab,category_scale,$,ref_227_18_lab,227.18,LPSR_DIRECT,1,category_scaled
364,227.19_fac,657982.8142894737,227.1_fac,category_scale,$,"ref_227_19_fac, scale_n_crs",227.19,LPSR_DIRECT,1,category_scaled
365,227.19_mat,9497.674219473683,227.1_mat,category_scale,$,"ref_227_19_mat, scale_n_crs",227.19,LPSR_DIRECT,1,category_scaled
366,227.19_lab,192990.9733368421,227.1_lab,category_scale,$,"ref_227_19_lab, scale_n_crs",227.19,LPSR_DIRECT,1,category_scaled
367,227.2_fac,6575350.648,227_fac,category_scale,$,ref_227_2_fac,227.2,LPSR_DIRECT,1,category_scaled
368,227.2_mat,89960.81599,227_mat,category_scale,$,ref_227_2_mat,227.2,LPSR_DIRECT,1,category_scaled
369,227.2_lab,913902.4667,227_lab,category_scale,$,ref_227_2_lab,227.2,LPSR_DIRECT,1,category_scaled
370,227.3_fac,6821452.5089,227_fac,category_scale,$,ref_227_3_fac,227.3,LPSR_DIRECT,1,collapsed_category_scaled
371,227.3_mat,141557.21612300002,227_mat,category_scale,$,ref_227_3_mat,227.3,LPSR_DIRECT,1,collapsed_category_scaled
