ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,gncoa,gn_level,gn_supaccount,gn_ind
29,214,Security Building,4533007.147299999,2,21,Unchanged,,,,,
30,215,Primary Auxiliary Building & Tunnels,29120431.91273316,2,21,Unchanged,,,,,
31,215.1,Building Structure,17411915.899924144,3,215,Unchanged,,,,,
32,215.13,Substructure Concrete,1384838.6828793203,4,215.1,Unchanged,,,,,
33,215.14,Superstructure,16027077.217044825,4,215.1,Unchanged,,,,,
34,215.2,Building Services,11708516.012809014,3,215,Unchanged,,,,,
35,215.21,Plumbing & Drains,697738.8282390331,4,215.2,Unchanged,,,,,
36,215.22,"Heating, Ventilation, & Air Conditioning",8561593.973174434,4,215.2,Unchanged,,,,,
37,215.23,Special HVAC (Safety Related),1297927.8387452168,4,215.2,Unchanged,,,,,
38,215.24,Lighting & Service Power,660602.7939103306,4,215.2,Unchanged,,,,,
39,215.25,Elevator,490652.57874,4,215.2,Unchanged,,,,,
